image_id,capture_id,camera_id,image_path,timestamp,width,height,blur_score,exposure_status,annotation_status
S001_SE01_CAP000042_CAM01,CAP000042,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000042_CAM01.jpg,2026-08-28T13:50:12.656+00:00,1920,1080,197.99,auto,unannotated
S001_SE01_CAP000042_CAM02,CAP000042,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000042_CAM02.jpg,2026-08-28T13:50:12.659+00:00,1920,1080,177.23,auto,unannotated
S001_SE01_CAP000043_CAM01,CAP000043,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000043_CAM01.jpg,2026-08-28T13:50:15.242+00:00,1920,1080,194.68,auto,unannotated
S001_SE01_CAP000043_CAM02,CAP000043,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000043_CAM02.jpg,2026-08-28T13:50:15.197+00:00,1920,1080,189.09,auto,unannotated
S001_SE01_CAP000044_CAM01,CAP000044,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000044_CAM01.jpg,2026-08-28T13:50:18.300+00:00,1920,1080,144.91,auto,unannotated
S001_SE01_CAP000044_CAM02,CAP000044,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000044_CAM02.jpg,2026-08-28T13:50:18.328+00:00,1920,1080,191.6,auto,unannotated
S001_SE01_CAP000045_CAM01,CAP000045,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000045_CAM01.jpg,2026-08-28T13:50:21.499+00:00,1920,1080,193.1,auto,unannotated
S001_SE01_CAP000045_CAM02,CAP000045,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000045_CAM02.jpg,2026-08-28T13:50:21.528+00:00,1920,1080,199.68,auto,unannotated
S001_SE01_CAP000046_CAM01,CAP000046,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000046_CAM01.jpg,2026-08-28T13:50:50.610+00:00,1920,1080,279.52,auto,unannotated
S001_SE01_CAP000046_CAM02,CAP000046,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000046_CAM02.jpg,2026-08-28T13:50:50.606+00:00,1920,1080,66.55,auto,unannotated
S001_SE01_CAP000047_CAM01,CAP000047,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000047_CAM01.jpg,2026-08-28T13:51:17.919+00:00,1920,1080,164.54,auto,unannotated
S001_SE01_CAP000047_CAM02,CAP000047,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000047_CAM02.jpg,2026-08-28T13:51:17.960+00:00,1920,1080,186.73,auto,unannotated
S002_SE01_CAP000048_CAM01,CAP000048,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000048_CAM01.jpg,2026-08-28T13:53:36.665+00:00,1920,1080,142.76,auto,unannotated
S002_SE01_CAP000048_CAM02,CAP000048,CAM02,02_data\private_raw\S002\SE01\CAM02\S002_SE01_CAP000048_CAM02.jpg,2026-08-28T13:53:36.656+00:00,1920,1080,30.85,auto,unannotated
S002_SE01_CAP000049_CAM01,CAP000049,CAM01,02_data\private_raw\S002\SE01\CAM01\S002_SE01_CAP000049_CAM01.jpg,2026-08-28T13:53:40.390+00:00,1920,1080,164.98,auto,unannotated
